,State,cycle,avgDemVoteInMostPartisanDem,avgRepVoteInMostPartisanDem,avgDemVoteInMostPartisanRep,avgRepVoteInMostPartisanRep,
0,AL,01,1970,96245.199999999997,32290.0,42977.800000000003,86691.8
1,AL,01,1980,118580.8,47920.199999999997,69660.399999999994,104835.6
2,AL,01,1990,136036.60000000001,45542.400000000001,62995.800000000003,154258.6
3,AL,01,2000,137003.20000000001,81341.199999999997,64087.199999999997,152660.8
4,AL,01,2010,132475.0,104093.0,65235.333333333336,193443.0
5,AK,02,1970,45444.599999999999,72002.600000000006,45444.599999999999,72002.6
6,AK,02,1980,75134.800000000003,112650.60000000001,75134.800000000003,112650.6
7,AK,02,1990,75653.600000000006,139951.60000000001,75653.600000000006,139951.6
8,AK,02,2000,84095.199999999997,169993.39999999999,84095.199999999997,169993.4
9,AK,02,2010,102849.33333333333,160985.33333333334,102849.33333333333,160985.333333
10,AZ,04,1970,99497.399999999994,60876.199999999997,51704.800000000003,96812.6
11,AZ,04,1980,87404.399999999994,48979.800000000003,57596.800000000003,141804.4
12,AZ,04,1990,75295.199999999997,33891.599999999999,70500.600000000006,160563.8
13,AZ,04,2000,65875.199999999997,23396.200000000001,83558.800000000003,154992.0
14,AZ,04,2010,102180.66666666667,56596.666666666664,65209.666666666664,162984.666667
15,AR,05,1970,79185.199999999997,80528.800000000003,63950.800000000003,115138.8
16,AR,05,1980,123802.8,50617.400000000001,63616.400000000001,132275.2
17,AR,05,1990,115681.2,73412.199999999997,82705.800000000003,113025.6
18,AR,05,2000,130701.0,65199.75,88804.5,128038.25
19,AR,05,2010,109326.66666666667,152573.33333333334,89971.666666666672,151586.666667
20,CA,06,1970,82305.800000000003,14834.4,44634.0,158842.6
21,CA,06,1980,93811.600000000006,16251.6,46095.599999999999,139390.2
22,CA,06,1990,143383.0,20998.400000000001,54650.599999999999,142396.6
23,CA,06,2000,187652.20000000001,24378.799999999999,54305.0,131485.0
24,CA,06,2010,222882.33333333334,28078.333333333332,63883.0,147423.666667
25,CO,08,1970,99409.399999999994,60055.400000000001,60537.800000000003,122784.8
26,CO,08,1980,125486.8,56052.800000000003,51780.400000000001,139129.0
27,CO,08,1990,130821.0,67897.600000000006,66388.399999999994,170629.2
28,CO,08,2000,158094.79999999999,60223.400000000001,76836.399999999994,156144.6
29,CO,08,2010,226038.0,92976.333333333328,107067.66666666667,203581.0
30,CT,09,1970,130352.60000000001,70737.199999999997,71199.800000000003,118201.6
31,CT,09,1980,141301.0,59139.0,58774.599999999999,128003.8
32,CT,09,1990,145646.0,55554.199999999997,57539.199999999997,127363.4
33,CT,09,2000,169273.60000000001,60198.599999999999,108641.0,127371.8
34,CT,09,2010,190543.33333333334,79655.333333333328,146304.66666666666,122068.333333
35,DE,10,1970,79048.199999999997,114254.2,79048.199999999997,114254.2
36,DE,10,1980,124313.2,75157.199999999997,124313.2,75157.2
37,DE,10,1990,79283.199999999997,161636.20000000001,79283.199999999997,161636.2
38,DE,10,2000,116853.8,183071.79999999999,116853.8,183071.8
39,DE,10,2010,206912.66666666666,129068.0,206912.66666666666,129068.0
40,FL,12,1970,102929.60000000001,28475.200000000001,45116.800000000003,159194.4
41,FL,12,1980,119079.2,44407.199999999997,54571.0,143655.4
42,FL,12,1990,120777.0,44907.0,59939.800000000003,147557.6
43,FL,12,2000,131582.60000000001,43099.599999999999,70859.399999999994,188788.2
44,FL,12,2010,180859.33333333334,46861.666666666664,87008.333333333328,230345.0
45,GA,13,1970,78871.199999999997,20736.599999999999,52862.599999999999,73230.8
46,GA,13,1980,96566.199999999997,22103.799999999999,61698.0,88705.4
47,GA,13,1990,115785.8,49137.599999999999,56470.599999999999,129894.6
48,GA,13,2000,138412.0,54330.400000000001,54180.199999999997,170836.2
49,GA,13,2010,194824.66666666666,52213.333333333336,63669.666666666664,181792.666667
50,HI,15,1970,101483.2,34274.0,77647.199999999997,41647.4
51,HI,15,1980,107689.0,51711.0,87990.25,70030.25
52,HI,15,1990,123566.8,46820.400000000001,108073.39999999999,66612.4
53,HI,15,2000,131928.39999999999,49762.400000000001,120156.39999999999,69225.0
54,HI,15,2010,160453.66666666666,38001.666666666664,118437.33333333333,76412.0
55,ID,16,1970,72935.800000000003,86831.0,62616.0,95330.0
56,ID,16,1980,101378.8,79157.600000000006,70616.800000000003,111522.8
57,ID,16,1990,103705.2,120027.0,69385.800000000003,142633.0
58,ID,16,2000,110632.8,148433.20000000001,68794.0,160963.2
59,ID,16,2010,96529.333333333328,181398.66666666666,95926.333333333328,195078.0
60,IL,17,1970,107812.2,8837.3999999999996,44818.199999999997,136522.2
61,IL,17,1980,143076.20000000001,10943.6,44446.599999999999,126406.4
62,IL,17,1990,155011.20000000001,23521.599999999999,59834.599999999999,148197.6
63,IL,17,2000,158151.79999999999,23363.0,74829.800000000003,171548.2
64,IL,17,2010,216044.33333333334,35172.0,79195.333333333328,220415.666667
65,IN,18,1970,109176.8,45983.599999999999,65351.400000000001,115042.4
66,IN,18,1980,120177.8,47662.800000000003,63622.400000000001,143662.6
67,IN,18,1990,120892.39999999999,53819.599999999999,55756.199999999997,170411.2
68,IN,18,2000,131801.79999999999,59354.599999999999,67942.800000000003,162123.6
69,IN,18,2010,144353.66666666666,78915.666666666672,66052.333333333328,164052.333333
70,IA,19,1970,116825.60000000001,64022.199999999997,72041.199999999997,108309.2
71,IA,19,1980,118379.8,66612.600000000006,56937.800000000003,109158.6
72,IA,19,1990,127524.39999999999,95949.600000000006,72397.800000000003,145075.0
73,IA,19,2000,140105.20000000001,105974.2,80906.399999999994,139887.6
74,IA,19,2010,188141.33333333334,154284.33333333334,139043.0,199517.666667
75,KS,20,1970,100787.60000000001,63084.0,50238.199999999997,120951.4
76,KS,20,1980,120937.8,45012.800000000003,51761.599999999999,134034.8
77,KS,20,1990,125562.0,117710.0,61074.400000000001,174813.6
78,KS,20,2000,147996.79999999999,121360.2,54132.800000000003,160480.0
79,KS,20,2010,113396.0,157409.0,76220.666666666672,155618.666667
80,KY,21,1970,84458.800000000003,30656.599999999999,37381.400000000001,89930.2
81,KY,21,1980,100959.8,37109.199999999997,37987.400000000001,100257.4
82,KY,21,1990,108467.0,82287.399999999994,53845.400000000001,131851.0
83,KY,21,2000,145864.79999999999,108388.0,64182.800000000003,159941.4
84,KY,21,2010,191947.33333333334,107175.33333333333,61591.333333333336,194572.333333
85,LA,22,1970,79940.800000000003,20633.799999999999,31638.799999999999,84001.2
86,LA,22,1980,96882.600000000006,15478.4,56312.400000000001,83302.8
87,LA,22,1990,82948.199999999997,113457.0,55109.800000000003,124134.8
88,LA,22,2000,93339.800000000003,40873.199999999997,44511.800000000003,163443.0
89,LA,22,2010,131597.0,125920.0,54655.0,222074.0
90,ME,23,1970,97709.399999999994,120984.0,60211.599999999999,140184.6
91,ME,23,1980,140863.20000000001,125971.2,74238.199999999997,153188.2
92,ME,23,1990,182747.0,83808.399999999994,153620.0,126553.4
93,ME,23,2000,193368.60000000001,111701.8,167958.20000000001,124000.8
94,ME,23,2010,216861.0,129253.33333333333,156364.33333333334,154576.0
95,MD,24,1970,107892.60000000001,20259.200000000001,50714.800000000003,97469.2
96,MD,24,1980,97419.399999999994,23330.0,55383.199999999997,114961.4
97,MD,24,1990,135424.39999999999,23345.200000000001,74422.199999999997,162833.6
98,MD,24,2000,177856.39999999999,38159.0,85651.600000000006,192415.2
99,MD,24,2010,207508.33333333334,63030.0,90092.333333333328,211040.0
100,MA,25,1970,121595.0,29241.0,66375.399999999994,122880.4
101,MA,25,1980,144806.0,44606.0,58601.800000000003,139850.4
102,MA,25,1990,151228.79999999999,41027.400000000001,128826.2,114571.2
103,MA,25,2000,184086.39999999999,63003.0,175069.20000000001,95505.8
104,MA,25,2010,224707.33333333334,88874.666666666672,177715.0,139795.333333
105,MI,26,1970,113613.2,9500.6000000000004,49780.199999999997,120329.0
106,MI,26,1980,111889.2,11961.799999999999,46138.599999999999,150278.6
107,MI,26,1990,135562.39999999999,19068.400000000001,66532.199999999997,159939.8
108,MI,26,2000,157217.39999999999,31112.0,81472.399999999994,192037.4
109,MI,26,2010,188939.0,35514.666666666664,91663.0,199425.333333
110,MN,27,1970,122719.39999999999,47154.599999999999,61129.0,144164.2
111,MN,27,1980,154377.0,49797.199999999997,77510.199999999997,182659.8
112,MN,27,1990,178279.79999999999,69279.600000000006,83780.0,201122.0
113,MN,27,2000,181935.0,64275.199999999997,115546.0,206360.6
114,MN,27,2010,226381.66666666666,75330.0,128263.66666666667,208410.0
115,MS,28,1970,87064.800000000003,22804.400000000001,36484.800000000003,86246.2
116,MS,28,1980,100644.8,38138.0,38063.800000000003,84928.8
117,MS,28,1990,116046.2,39164.599999999999,61888.599999999999,101573.2
118,MS,28,2000,147244.20000000001,59541.199999999997,84910.600000000006,128742.6
119,MS,28,2010,150344.66666666666,95108.0,68053.333333333328,166076.333333
120,MO,29,1970,124469.2,40170.400000000001,71702.600000000006,120014.0
121,MO,29,1980,118534.60000000001,48454.400000000001,71921.399999999994,128938.2
122,MO,29,1990,137305.0,53062.599999999999,64789.800000000003,154265.4
123,MO,29,2000,165511.0,60169.400000000001,65064.199999999997,175800.2
124,MO,29,2010,208078.33333333334,52939.666666666664,60828.333333333336,183999.666667
125,MT,30,1970,99914.600000000006,54236.0,68039.800000000003,80205.6
126,MT,30,1980,108254.60000000001,64733.599999999999,66930.199999999997,95072.4
127,MT,30,1990,177328.60000000001,187485.20000000001,177328.60000000001,187485.2
128,MT,30,2000,138127.79999999999,253093.20000000001,138127.79999999999,253093.2
129,MT,30,2010,186516.0,248232.33333333334,186516.0,248232.333333
130,NE,31,1970,83445.0,92411.600000000006,47774.0,136308.4
131,NE,31,1980,88018.0,104326.0,51505.400000000001,151703.4
132,NE,31,1990,84939.800000000003,117447.60000000001,48400.599999999999,162341.8
133,NE,31,2000,87141.0,113892.2,48931.199999999997,146015.0
134,NE,31,2010,117080.33333333333,117729.0,64752.333333333336,172211.333333
135,NV,32,1970,126326.0,57401.400000000001,126326.0,57401.4
136,NV,32,1980,76677.399999999994,50474.599999999999,56514.400000000001,92586.2
137,NV,32,1990,94695.199999999997,83854.800000000003,93205.0,147447.0
138,NV,32,2000,108202.39999999999,55780.400000000001,89745.800000000003,160487.4
139,NV,32,2010,92049.0,47036.0,89919.0,155763.666667
140,NH,33,1970,82842.199999999997,66282.800000000003,50029.400000000001,96710.0
141,NH,33,1980,74493.0,86241.800000000003,52530.0,106012.0
142,NH,33,1990,109527.39999999999,106907.0,83815.199999999997,122593.0
143,NH,33,2000,123578.8,131582.39999999999,115256.2,141469.8
144,NH,33,2010,158120.33333333334,139602.66666666666,150082.33333333334,147059.333333
145,NJ,34,1970,73375.0,14171.6,48100.199999999997,122752.8
146,NJ,34,1980,81642.399999999994,17648.0,45629.400000000001,133879.0
147,NJ,34,1990,106870.39999999999,20576.799999999999,59385.599999999999,160907.0
148,NJ,34,2000,100074.0,23915.400000000001,71069.399999999994,158211.8
149,NJ,34,2010,162675.0,21625.0,91313.0,175321.333333
150,NM,35,1970,104301.2,76789.0,70770.600000000006,113379.4
151,NM,35,1980,102012.39999999999,45814.800000000003,50648.800000000003,92972.6
152,NM,35,1990,114726.39999999999,60981.800000000003,64992.199999999997,108706.2
153,NM,35,2000,135746.39999999999,80420.800000000003,90661.399999999994,105857.4
154,NM,35,2010,153813.33333333334,88423.333333333328,76631.0,123967.666667
155,NY,36,1970,57633.0,6519.3999999999996,42166.599999999999,143453.4
156,NY,36,1980,57243.400000000001,4287.0,39575.599999999999,129178.8
157,NY,36,1990,85644.800000000003,5047.8000000000002,41187.599999999999,134100.2
158,NY,36,2000,81459.800000000003,3996.1999999999998,59214.400000000001,137799.0
159,NY,36,2010,124980.66666666667,5423.0,81050.666666666672,160167.333333
160,NC,37,1970,81319.399999999994,25201.0,45969.599999999999,88193.4
161,NC,37,1980,106187.39999999999,40484.599999999999,59173.599999999999,111095.6
162,NC,37,1990,110980.39999999999,48591.400000000001,58076.599999999999,144646.2
163,NC,37,2000,144023.0,58156.599999999999,66233.600000000006,166653.6
164,NC,37,2010,206116.0,69150.666666666672,95555.333333333328,184172.333333
165,ND,38,1970,103014.0,155803.0,103014.0,155803.0
166,ND,38,1980,202174.60000000001,74181.800000000003,202174.60000000001,74181.8
167,ND,38,1990,141616.20000000001,110375.2,141616.20000000001,110375.2
168,ND,38,2000,150051.20000000001,111903.60000000001,150051.20000000001,111903.6
169,ND,38,2010,102641.33333333333,181837.66666666666,102641.33333333333,181837.666667
170,OH,39,1970,83924.0,11984.4,35976.800000000003,113551.4
171,OH,39,1980,132310.39999999999,23535.799999999999,39157.599999999999,127218.6
172,OH,39,1990,159682.60000000001,30655.200000000001,55572.400000000001,174374.2
173,OH,39,2000,165709.79999999999,38720.800000000003,72413.199999999997,170255.0
174,OH,39,2010,199265.66666666666,54632.0,91314.0,194748.666667
175,OK,40,1970,108042.8,40984.800000000003,43663.0,80485.4
176,OK,40,1980,120834.0,33840.400000000001,46110.400000000001,119342.0
177,OK,40,1990,104925.39999999999,71730.199999999997,62405.800000000003,123187.2
178,OK,40,2000,146126.79999999999,69219.800000000003,65132.400000000001,155215.8
179,OK,40,2010,85714.666666666672,133172.33333333334,50944.0,187534.666667
180,OR,41,1970,152758.39999999999,64011.199999999997,118313.0,120274.6
181,OR,41,1980,158227.0,44462.599999999999,80553.600000000006,123766.2
182,OR,41,1990,174829.39999999999,57395.199999999997,86215.600000000006,166976.4
183,OR,41,2000,207225.79999999999,68634.399999999994,79242.199999999997,210818.0
184,OR,41,2010,234039.33333333334,89168.333333333328,92388.666666666672,234456.333333
185,PA,42,1970,119798.8,35798.400000000001,43334.199999999997,125323.6
186,PA,42,1980,138266.0,20246.799999999999,37068.0,114017.4
187,PA,42,1990,138399.20000000001,22842.200000000001,53909.599999999999,138195.0
188,PA,42,2000,199063.0,23862.200000000001,73810.399999999994,167019.4
189,PA,42,2010,273943.66666666669,31303.0,78100.0,179311.666667
190,RI,44,1970,121488.2,52009.400000000001,105013.60000000001,74523.8
191,RI,44,1980,101175.0,72807.0,62994.400000000001,116043.4
192,RI,44,1990,124122.39999999999,44329.400000000001,94596.199999999997,74098.2
193,RI,44,2000,131630.79999999999,45902.199999999997,116914.0,62004.0
194,RI,44,2010,120963.66666666667,70778.0,108735.33333333333,71212.3333333
195,SC,45,1970,81345.800000000003,31683.799999999999,57101.0,73880.6
196,SC,45,1980,92343.600000000006,43082.800000000003,52417.199999999997,86161.4
197,SC,45,1990,116794.8,51561.599999999999,58783.599999999999,125033.8
198,SC,45,2000,139524.60000000001,70852.199999999997,71446.600000000006,153264.8
199,SC,45,2010,142379.0,89578.0,68283.0,160859.333333
200,SD,46,1970,75068.399999999994,72231.0,51206.0,89930.0
201,SD,46,1980,178511.60000000001,111650.60000000001,178511.60000000001,111650.6
202,SD,46,1990,135081.39999999999,162612.39999999999,135081.39999999999,162612.4
203,SD,46,2000,198918.20000000001,146675.79999999999,198918.20000000001,146675.8
204,SD,46,2010,126361.33333333333,209545.66666666666,126361.33333333333,209545.666667
205,TN,47,1970,102663.0,41268.400000000001,40688.199999999997,117644.2
206,TN,47,1980,97803.800000000003,29464.200000000001,33299.800000000003,100832.8
207,TN,47,1990,117630.60000000001,43931.0,50179.0,128447.4
208,TN,47,2000,138618.79999999999,47556.599999999999,44650.800000000003,177738.6
209,TN,47,2010,149143.0,42679.333333333336,41433.0,167142.666667
210,TX,48,1970,74808.600000000006,15842.799999999999,37300.400000000001,156771.4
211,TX,48,1980,105005.60000000001,34797.0,33509.599999999999,164864.6
212,TX,48,1990,98445.800000000003,31945.200000000001,44883.0,166064.0
213,TX,48,2000,109908.39999999999,28998.200000000001,38169.400000000001,142091.6
214,TX,48,2010,139219.33333333334,32996.333333333336,40546.333333333336,160339.333333
215,UT,49,1970,129160.39999999999,101556.8,101273.60000000001,133736.4
216,UT,49,1980,90447.600000000006,77656.0,56931.400000000001,109926.0
217,UT,49,1990,109386.2,90582.0,62555.599999999999,141083.2
218,UT,49,2000,155812.39999999999,115443.8,62606.199999999997,148503.0
219,UT,49,2010,100213.66666666667,113856.0,56164.666666666664,170456.333333
220,VT,50,1970,51208.5,102657.75,51208.5,102657.75
221,VT,50,1980,67726.0,111022.75,67726.0,111022.75
222,VT,50,1990,160490.39999999999,78232.399999999994,160490.39999999999,78232.4
223,VT,50,2000,166539.75,85127.5,166539.75,85127.5
224,VT,50,2010,165974.5,63487.5,165974.5,63487.5
225,VA,51,1970,84617.199999999997,59705.599999999999,36966.199999999997,82642.4
226,VA,51,1980,96195.199999999997,68081.0,52083.199999999997,104573.4
227,VA,51,1990,118920.0,39465.599999999999,54803.400000000001,144801.0
228,VA,51,2000,148377.60000000001,66177.399999999994,89206.0,166232.4
229,VA,51,2010,211318.0,73709.333333333328,90628.333333333328,185325.666667
230,WA,53,1970,121336.8,46221.400000000001,60431.199999999997,131548.6
231,WA,53,1980,133178.39999999999,47865.0,45589.599999999999,123909.2
232,WA,53,1990,177774.20000000001,59617.400000000001,74020.600000000006,154382.6
233,WA,53,2000,213580.0,63410.199999999997,82093.399999999994,149232.2
234,WA,53,2010,235829.0,66816.666666666672,90587.666666666672,157982.333333
235,WV,54,1970,107317.60000000001,44146.599999999999,86356.600000000006,70088.8
236,WV,54,1980,93362.399999999994,36212.199999999997,75319.399999999994,56842.0
237,WV,54,1990,118215.2,60906.0,111389.39999999999,63508.2
238,WV,54,2000,112787.39999999999,57772.199999999997,81564.199999999997,122842.0
239,WV,54,2010,92364.333333333328,101888.0,56792.333333333336,130479.333333
240,WI,55,1970,108381.8,30757.0,61108.599999999999,140822.6
241,WI,55,1980,124648.60000000001,50192.199999999997,55047.199999999997,139997.4
242,WI,55,1990,137270.20000000001,50483.199999999997,68176.800000000003,163141.6
243,WI,55,2000,186780.60000000001,81632.800000000003,96830.0,211227.0
244,WI,55,2010,229279.66666666666,91107.0,111381.66666666667,247400.333333
245,WY,56,1970,67529.399999999994,77305.800000000003,67529.399999999994,77305.8
246,WY,56,1980,53636.400000000001,113581.0,53636.400000000001,113581.0
247,WY,56,1990,74440.199999999997,115369.39999999999,74440.199999999997,115369.4
248,WY,56,2000,82160.0,119715.39999999999,82160.0,119715.4
249,WY,56,2010,56947.333333333336,145222.0,56947.333333333336,145222.0
