,Unnamed: 0,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction)
94,94,CA,06,1976,4129696.5,3260279.75,0.558824055761,0.441175944239,29.0,0.674418604651,-5.0,-0.116279069767
95,95,CA,06,1978,3418424.25,3142137.5,0.521056638176,0.478943361824,26.0,0.604651162791,-3.5,-0.0813953488372
96,96,CA,06,1980,3665518.0,4178626.0,0.467293563198,0.532706436802,22.0,0.511627906977,-3.5,-0.0813953488372
97,97,CA,06,1982,3769217.33333,3689854.0,0.505319920523,0.494680079477,28.0,0.622222222222,-5.5,-0.122222222222
98,98,CA,06,1984,4464400.08333,4404950.5,0.503351405651,0.496648594349,27.0,0.6,-4.5,-0.1
99,99,CA,06,1986,3731992.0,3367265.25,0.52568766965,0.47431233035,27.0,0.6,-4.5,-0.1
100,100,CA,06,1988,4806746.5,4309141.25,0.527293296256,0.472706703744,27.0,0.6,-4.5,-0.1
101,101,CA,06,1990,3683220.0,3421215.0,0.518439538119,0.481560461881,26.0,0.577777777778,-3.0,-0.0666666666667
106,106,CA,06,2000,5467758.08333,4416316.16667,0.553188689708,0.446811310292,32.0,0.615384615385,-2.5,-0.0480769230769
107,107,CA,06,2002,3835828.25,3341493.0,0.534437308348,0.465562691652,33.0,0.622641509434,-6.0,-0.11320754717
108,108,CA,06,2004,6216464.0,4964081.83333,0.556007201497,0.443992798503,33.0,0.622641509434,-5.0,-0.0943396226415
109,109,CA,06,2006,4878792.25,3525877.5,0.580485895951,0.419514104049,34.0,0.641509433962,-4.5,-0.0849056603774
110,110,CA,06,2008,7108726.16667,4603816.25,0.606932800222,0.393067199778,34.0,0.641509433962,-3.5,-0.0660377358491
111,111,CA,06,2010,5243921.25,4129678.75,0.559435142315,0.440564857685,34.0,0.641509433962,-4.0,-0.0754716981132
112,112,CA,06,2012,7373710.66667,4741277.66667,0.608643645688,0.391356354312,39.0,0.735849056604,-2.5,-0.0471698113208
188,188,FL,12,1980,1864604.0,1417597.25,0.568095573055,0.431904426945,11.0,0.733333333333,-2.5,-0.166666666667
190,190,FL,12,1984,1746575.16667,1803616.5,0.491966443126,0.508033556874,12.0,0.631578947368,-2.5,-0.131578947368
196,196,FL,12,1996,2216199.0,2748698.5,0.446373565617,0.553626434383,8.0,0.347826086957,3.0,0.130434782609
197,197,FL,12,1998,2134133.83333,2548074.0,0.455796476641,0.544203523359,8.0,0.347826086957,2.5,0.108695652174
198,198,FL,12,2000,2397085.33333,2708118.5,0.469537634851,0.530462365149,8.0,0.347826086957,2.5,0.108695652174
199,199,FL,12,2002,2382524.85,2966931.76667,0.445376983258,0.554623016742,7.0,0.28,3.0,0.12
200,200,FL,12,2004,2846305.35,3754339.43333,0.431216258931,0.568783741069,7.0,0.28,2.5,0.1
201,201,FL,12,2006,2441672.93333,2608129.35,0.483518521387,0.516481478613,9.0,0.36,3.0,0.12
228,228,GA,13,2014,1462233.0,1728565.0,0.458265612552,0.541734387448,4.0,0.285714285714,2.5,0.178571428571
229,229,GA,13,2016,1696921.0,2010753.0,0.457678048286,0.542321951714,4.0,0.285714285714,3.0,0.214285714286
714,714,NY,36,1974,2789113.0,2020974.3,0.579846648521,0.420153351479,27.0,0.692307692308,-3.0,-0.0769230769231
715,715,NY,36,1976,3369790.0,2432916.3,0.580727306498,0.419272693502,28.0,0.717948717949,-4.5,-0.115384615385
716,716,NY,36,1978,2460836.0,2079932.3,0.54194264878,0.45805735122,26.0,0.666666666667,-3.0,-0.0769230769231
717,717,NY,36,1980,2730550.0,2754361.8,0.497829336107,0.502170663893,22.0,0.564102564103,-2.5,-0.0641025641026
721,721,NY,36,1988,2905578.06667,2593423.91667,0.528382800274,0.471617199726,21.0,0.617647058824,-3.0,-0.0882352941176
722,722,NY,36,1990,2003665.23333,1755078.33333,0.533067818487,0.466932181513,21.0,0.617647058824,-3.5,-0.102941176471
728,728,NY,36,2002,2283166.41667,1920205.83333,0.543174927385,0.456825072615,19.0,0.655172413793,-3.5,-0.120689655172
729,729,NY,36,2004,3707157.25,2401371.0,0.606882230593,0.393117769407,20.0,0.689655172414,-2.5,-0.0862068965517
730,730,NY,36,2006,2858135.66667,1512661.83333,0.653916285682,0.346083714318,23.0,0.793103448276,-2.5,-0.0862068965517
731,731,NY,36,2008,4198015.66667,2086702.66667,0.667971966922,0.332028033078,26.0,0.896551724138,-3.0,-0.103448275862
756,756,NC,37,2012,2218357.0,2137167.0,0.509320348137,0.490679651863,4.0,0.307692307692,3.0,0.230769230769
757,757,NC,37,2014,1389299.0,1586278.5,0.466900626853,0.533099373147,3.0,0.230769230769,3.0,0.230769230769
758,758,NC,37,2016,2142661.0,2447326.0,0.466811997507,0.533188002493,3.0,0.230769230769,3.0,0.230769230769
782,782,OH,39,1972,1787132.0,2026687.66667,0.468593734418,0.531406265582,7.0,0.304347826087,3.0,0.130434782609
783,783,OH,39,1974,1453304.75,1458726.75,0.499069034796,0.500930965204,8.0,0.347826086957,3.5,0.152173913043
798,798,OH,39,2004,2352025.5,2771962.5,0.459022445017,0.540977554983,6.0,0.333333333333,3.0,0.166666666667
802,802,OH,39,2012,2413748.0,2596672.0,0.481745642082,0.518254357918,4.0,0.25,3.0,0.1875
804,804,OH,39,2016,2154523.0,2996017.0,0.418310118939,0.581689881061,4.0,0.25,2.5,0.15625
870,870,PA,42,2010,1925037.0,2059286.33333,0.483152806374,0.516847193626,7.0,0.368421052632,2.5,0.131578947368
871,871,PA,42,2012,2793538.0,2710070.0,0.507583025535,0.492416974465,5.0,0.277777777778,4.0,0.222222222222
872,872,PA,42,2014,1821448.0,2017210.5,0.474501183161,0.525498816839,5.0,0.277777777778,4.0,0.222222222222
873,873,PA,42,2016,2772302.0,2990943.0,0.481031432813,0.518968567187,5.0,0.277777777778,4.0,0.222222222222
968,968,TX,48,1976,2259102.66667,1406597.83333,0.616281299213,0.383718700787,22.0,0.916666666667,-2.5,-0.104166666667
969,969,TX,48,1978,1442358.75,1012913.25,0.587453752578,0.412546247422,20.0,0.833333333333,-3.5,-0.145833333333
970,970,TX,48,1980,2085957.16667,1837670.83333,0.531639892127,0.468360107873,19.0,0.791666666667,-5.0,-0.208333333333
971,971,TX,48,1982,1948234.45,1464720.91667,0.570835021468,0.429164978532,21.0,0.777777777778,-3.5,-0.12962962963
972,972,TX,48,1984,2474193.53333,2408326.33333,0.506745205529,0.493254794471,17.0,0.62962962963,-3.5,-0.12962962963
973,973,TX,48,1986,1939241.36667,1705836.16667,0.532016493184,0.467983506816,17.0,0.62962962963,-3.0,-0.111111111111
974,974,TX,48,1988,2365576.2,2259097.25,0.511512050651,0.488487949349,19.0,0.703703703704,-5.5,-0.203703703704
975,975,TX,48,1990,2094489.78333,1944583.91667,0.518556961051,0.481443038949,19.0,0.703703703704,-5.0,-0.185185185185
976,976,TX,48,1992,2810867.5,2831041.41667,0.498212137331,0.501787862669,21.0,0.7,-6.0,-0.2
977,977,TX,48,1994,2016661.0,2494539.66667,0.447034204198,0.552965795802,19.0,0.633333333333,-5.0,-0.166666666667
978,978,TX,48,1996,2105856.66667,2474503.66667,0.45975786039,0.54024213961,17.0,0.566666666667,-3.0,-0.1
979,979,TX,48,1998,1941212.91667,2350004.75,0.452368783748,0.547631216252,17.0,0.566666666667,-3.0,-0.1
980,980,TX,48,2000,2675136.66667,3079882.41667,0.464835412,0.535164588,17.0,0.566666666667,-2.5,-0.0833333333333
1041,1041,VA,51,1984,1316453.90476,1237872.2381,0.515382073837,0.484617926163,10.0,0.714285714286,-2.5,-0.178571428571
1055,1055,VA,51,2012,2063126.0,2261014.0,0.477118224664,0.522881775336,4.0,0.285714285714,2.5,0.178571428571
